run_id,repeat,fold,method,method_label,boundary_definition,quantile,target_accuracy,target_accuracy_percent,queries_required,status,available_start_budget,final_budget,crossing_definition,no_extrapolation
primary_common__r01_f01,1,1,shared_random_binary_head,Random,B1,20,0.8,80,16,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f02,1,2,shared_random_binary_head,Random,B1,20,0.8,80,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f03,1,3,shared_random_binary_head,Random,B1,20,0.8,80,30,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f04,1,4,shared_random_binary_head,Random,B1,20,0.8,80,42,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f05,1,5,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f01,2,1,shared_random_binary_head,Random,B1,20,0.8,80,30,reached,16,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f02,2,2,shared_random_binary_head,Random,B1,20,0.8,80,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f03,2,3,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f04,2,4,shared_random_binary_head,Random,B1,20,0.8,80,72,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f05,2,5,shared_random_binary_head,Random,B1,20,0.8,80,70,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f01,3,1,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f02,3,2,shared_random_binary_head,Random,B1,20,0.8,80,30,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f03,3,3,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f04,3,4,shared_random_binary_head,Random,B1,20,0.8,80,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f05,3,5,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f01,4,1,shared_random_binary_head,Random,B1,20,0.8,80,24,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f02,4,2,shared_random_binary_head,Random,B1,20,0.8,80,70,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f03,4,3,shared_random_binary_head,Random,B1,20,0.8,80,37,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f04,4,4,shared_random_binary_head,Random,B1,20,0.8,80,33,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f05,4,5,shared_random_binary_head,Random,B1,20,0.8,80,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f01,1,1,binary_uncertainty_repulsion,Binary,B1,20,0.85,85,16,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f02,1,2,binary_uncertainty_repulsion,Binary,B1,20,0.85,85,46,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f03,1,3,binary_uncertainty_repulsion,Binary,B1,20,0.85,85,39,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f04,1,4,binary_uncertainty_repulsion,Binary,B1,20,0.85,85,16,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f05,1,5,binary_uncertainty_repulsion,Binary,B1,20,0.85,85,,not_reached_by_80,12,80,target met at current and next two stored integer-budget checkpoints,True
